No.	Chromosome	Total pup	Induced in/del	Efficiency	Deletion_bp	Strand	sg1_strand	sg1_MH	sg1_Deep	sg1_GC	sg1_Doench	sg1_Mor	sg1_RuleSet3	sg1_CRISPRon	sg2_strand	sg2_MH	sg2_Deep	sg2_GC	sg2_Doench	sg2_Mor	sg2_RuleSet3	sg2_CRISPRon
1	2	21	5	23.81	520	Same	-	7483.6	39.803	55	50	40	2	44	-	5435.5	51.97	65	53	50	36	50
2	19	26	1	3.846	482	Same	-	3839.4	42.42	50	54	27	-19	36	-	3781.3	22.812	40	31	38	-93	19
3	7	21	12	57.143	797	Convergent	+	4641	31.165	50	52	40	-85	34	-	4242.2	57.969	45	41	50	-33	45
4	7	18	0	0	308	Divergent	-	3000	23.747	45	34	21	-79	23	+	3686.1	39.086	40	51	26	-32	27
5	7	35	0	0	308	Divergent	-	3000	23.747	45	34	21	-79	23	+	3686.1	39.086	40	51	26	-32	27
6	7	24	0	0	842	Same	+	5823	65.851	60	51	26	-32	72	+	3686.1	39.086	40	51	26	-32	27
7	7	30	15	50	874	Convergent	+	5823	65.851	60	51	26	-32	72	-	4968.4	60.449	65	59	91	84	59
8	4	18	0	0	596	Same	-	6034.2	45.001	40	55	54	16	40	-	4108	22.29	50	39	16	-138	28
9	4	23	7	30.435	633	Same	-	5791	52.129	40	57	57	46	53	-	4725.7	57.708	50	64	71	84	63
10	8	24	6	25	772	Same	+	4790.7	62.555	60	58	47	71	61	+	4799.1	64.734	60	62	55	66	53
11	9	22	3	13.636	317	Same	+	4629.4	53.843	50	52	55	47	52	+	4461.4	41.336	45	54	37	10	38
12	10	23	12	52.174	453	Convergent	+	3264.7	64.241	30	54	23	38	46	-	4512.6	58.222	40	58	45	56	53
13	8	14	8	57.143	1576	Same	-	4096.6	74.649	30	75	37	93	62	-	5781.6	33.513	65	35	61	-48	36
14	7	28	4	14.286	491	Same	-	4319.6	40.237	45	43	75	-48	35	-	4251.4	38.625	40	52	43	-13	40
15	2	25	2	8	1209	Same	+	3372.6	40.297	45	53	31	-35	32	+	4095.9	67.214	60	62	40	108	60
16	13	16	7	43.75	427	Divergent	-	4245.5	60.801	55	53	47	-28	48	+	4213.7	70.48	55	48	46	42	54
17	9	17	5	29.412	944	Convergent	+	4208	38.27	60	43	36	-56	33	-	6520.9	30.72	70	41	49	-52	31
18	17	19	13	68.421	1034	Convergent	+	5390.4	48.183	65	51	39	39	47	-	3731.7	46.452	70	44	48	-26	43
19	1	15	4	26.667	316	Same	+	3152.4	33.527	45	44	24	-49	34	+	4200.5	68.371	45	53	40	59	50
20	8	19	5	26.316	276	Divergent	-	5333.7	43.697	65	44	41	-6	37	+	5900.9	40.837	70	46	66	-45	36
21	6	15	3	20	635	Same	+	4220.5	54.097	35	58	38	71	61	+	2808.4	47.289	35	51	38	-33	38
22	11	13	2	15.385	609	Same	-	5079.2	29.451	70	42	50	-30	23	-	3476.2	54.056	55	56	34	43	46
23	17	18	9	50	208	Divergent	-	5785.3	63.5	60	65	63	93	74	+	5220.6	60.803	65	59	49	91	58
24	2	22	8	36.364	379	Same	-	4468.6	26.733	50	37	32	-132	32	-	4054.5	10.546	25	32	39	-81	10
25	9	24	1	4.167	1722	Same	-	3615.7	11.817	35	44	44	-62	18	-	4030.9	49.95	50	54	52	42	53
26	2	23	0	0	551	Divergent	-	3709.2	19.636	50	30	43	-87	22	+	6389	43.936	60	54	75	-4	44
27	2	22	1	4.545	551	Divergent	-	3709.2	19.636	50	30	43	-87	22	+	6389	43.936	60	54	75	-4	44
28	8	22	5	22.727	332	Same	+	6680.6	49.343	40	48	51	-27	46	+	4580.9	23.875	60	50	44	-29	33
29	4	26	3	11.538	426	Divergent	-	4443.2	49.617	55	40	53	43	61	+	6083.8	67.138	70	64	89	122	74
30	10	25	4	16	873	Convergent	+	2988.8	51.125	50	47	25	-25	36	-	3202.3	24.925	35	55	26	-83	21
31	3	24	12	50	400	Divergent	-	3902.1	66.101	60	55	53	102	53	+	3294.2	34.701	50	41	70	-29	31
32	5	22	2	9.091	222	Convergent	+	3669.9	21.784	40	38	31	-114	21	-	3084	38.895	45	52	20	-44	26
33	7	15	4	26.667	430	Same	-	3904.9	17.796	45	31	59	-58	24	-	4512.4	31.631	75	44	31	-30	37
34	16	20	11	55	1394	Divergent	-	4099.9	65.706	50	64	45	37	52	+	3507.3	62.836	55	53	39	57	53
35	7	12	4	33.333	238	Same	-	8589	47.06	70	60	59	62	56	-	5810.5	54.277	60	57	83	101	62
36	5	24	4	16.667	373	Same	+	5906.4	30.137	70	43	31	-25	37	+	5640.2	16.976	60	36	38	-100	24
37	4	25	5	20	2110	Convergent	+	3451.1	33.568	40	39	37	-66	23	-	5332.8	21.62	45	30	41	-61	20
38	7	30	3	10	243	Convergent	+	3870.4	11.182	35	29	15	-122	18	-	3896.5	42.491	50	58	68	13	45
